cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
asphyxiated,drowning or exhaustion related death,2004,1,"stowaway, found dead in De Gaulles airport (F) on a flight from Madagascar (May 16, 2004). From Del Grande's data set (translated): Man dies frozen to death in the undercarriage of a plane from Madagascar landed at De Gaulle Airport in Paris (May 17, 2004)"
murdered,malicious intent related death / manslaughter,2004,2,"pregnant, reportedly thrown off a boat to Italy by other migrants (May 7, 2004)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2004,1,"died in minefield at TR-GR border with 4 Palestinians and 2 Moroccan who survived (May 7, 2004)"
asphyxiated,drowning or exhaustion related death,2004,2,"stowaways, found dead in the hold of a Turkish cargo-ship at port of Cartagena (E) (Apr 26, 2004). From Del Grande's data set (translated): 2 young men found dead in a hidden compartment in the hold of a freighter landed in Cartegena (Apr 28, 2004)"
hypothermia,drowning or exhaustion related death,2004,1,"hypothermia, going from Africa to Fuerteventura (E) by boat with other people. (Apr 22, 2004). From Del Grande's data set (translated): Landing on Fuerteventura, one died on the boat (Apr 24, 2004)"
suicide - jumped in water,suicide,2004,1,"jumped from the boat into the sea to avoid the Civil Guard (E) (Apr 18, 2004)"
suicide - hanged,suicide,2004,1,"suicide,found hanged in Hamburg (D) jail. 2nd suicide attempt in fear of deportation. (Apr 18, 2004)"
shot by the police,authorities related death,2004,2,"stowaway, shot by police, after the van failed to stop at the border H-SK (Apr 16, 2004)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2004,2,"died after explosion in minefield in Evros (GR) trying to cross Turkish-Greek border (Apr 11, 2004)"
lack of medical care,drowning or exhaustion related death,2004,1,"denied medical assistance in asylum centre in Halberstadt (D)  (Apr 3, 2004)"
shot by the police,authorities related death,2004,2,"2 youth killed by the gunfire of the Moroccan auxiliary forces in an attempt to climb over the barrier along the border of Melilla (Apr 1, 2004)"
suicide - hanged,suicide,2004,1,"suicide, hanged himself in Norwich (GB) prison, depressed awaiting deportation (Mar 13, 2004)"
asphyxiated,drowning or exhaustion related death,2004,1,"stowaways, found dead in cargo ship in Pasaia (E) coming from Camerun (Feb 29, 2004)"
suicide - put on fire,suicide,2004,1,"set himself on fire in Cologne (D) in fear of his deportation to Turkey  (Feb 27, 2004)"
shot by the police,authorities related death,2004,1,"A group tries to climb over the fence of the frontier of Melilla. The Moroccan soldiers shoot. A young man is shot in the head and dies (Feb 22, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in prison in Frosinone (I) in fear of deportation (Feb 6, 2004)"
murdered,malicious intent related death / manslaughter,2004,1,"found dead in a prison cell in GB, reportedly killed by a racist cellmate (Feb 3, 2004)"
attacked by animals,other,2004,1,"attacked and torn apart by wild dogs in Madama, Niger whilst travelling to LY border (Dec 31, 2004)"
murdered,malicious intent related death / manslaughter,2004,1,"murdered after forced repatriation from GB to Afghanistan, asylum claim refused  (Dec 31, 2004)"
suicide - other,suicide,2004,2,"suicide, found dead at Schipol Airport detention centre (NL) (Dec 31, 2004)"
hypothermia,drowning or exhaustion related death,2004,13,"dead bodies found on a boat drifting near Fuerteventura (E) (Dec 22, 2004). From Del Grande's data set (translated): Recovered the bodies of two drowned men, one on the coast of Fuerteventura, in the Canary Islands, and the other on a beach in Melilla (Dec 18, 2004)"
hypothermia,drowning or exhaustion related death,2004,2,"dead bodies found on a boat drifting near Fuerteventura (E) (Dec 21, 2004). From Del Grande's data set (translated): Recovered the bodies of two drowned men, one on the coast of Fuerteventura, in the Canary Islands, and the other on a beach in Melilla (Dec 18, 2004)"
hypothermia,drowning or exhaustion related death,2004,1,"A man dies of cold in an attempt to cross the Turkish border on foot in the mountains of Gurpinar in the eastern province of Van (Dec 22, 2004)"
hypothermia,drowning or exhaustion related death,2004,1,"died from hypothermia, body found outside a disused factory in West Bromwich (GB)  (Dec 19, 2004)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2004,2,"Minefield in Evros, greek-turkish border. An explosion ago 2 deaths. They tried to enter illegally in Greece (Dec 7, 2004)"
fall,"violent accidental death (transport, blown in minefield...)",2004,1,"stowaway, fallen from wheelbay of a plane,body found in Louvain (B) (Nov 29, 2004). From Del Grande's data set (translated): Found in Leuven the body of a man who fell from the undercarriage of a plane landing at Brussels, where he had hidden (Nov 30, 2004)"
asphyxiated,drowning or exhaustion related death,2004,1,"stowaway, found dead in wheelbay of a plane arrived in Paris (F) from Mali (Nov 15, 2004). From Del Grande's data set (translated): Man dies frozen to death in the undercarriage of a plane landed in Paris from Mali (Nov 16, 2004)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2004,3,"blown up in a minefield at the turkish-Greek border, near Evros (GR) (Nov 13, 2004). From Del Grande's data set (translated): Minefield in Evros, greek-turkish border. An explosion ago 3 deaths. They tried to enter illegally in Greece (Nov 14, 2004)"
suicide - other,suicide,2004,1,"died while in detention in Great britain (Nov 8, 2004)"
shot by the police,authorities related death,2004,1,"shot to death by police in Ceuta (E/MA), body hidden for some days near MA border (Nov 3, 2004)"
suicide - hanged,suicide,2004,1,"suicide, hanged himself in the prison of Fuhlsbüttel (D) in fear of deportation (Nov 3, 2004)"
asphyxiated,drowning or exhaustion related death,2004,1,"Boy dies suffocated, he was hiding in a Dutch container loaded on a ferry greek direct to Ancona (Nov 2, 2004)"
lack of medical care,drowning or exhaustion related death,2004,1,"born dead, thrown overboard before Maltese rescue team arrived (Oct 22, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in his cell at Leicester prison (GB). (Oct 14, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged at his home in Sheffield (GB) after asylum claim was refused (Oct 13, 2004)"
illness,drowning or exhaustion related death,2004,1,"died in S.G.Hospital (London, GB) while in detention, reportedly of cancer (Oct 11, 2004)"
car accident,"violent accidental death (transport, blown in minefield...)",2004,12,"The Libyan authorities claim to have returned to Niger in September, about 5,000 illegal immigrants in trucks. According to the gendarmerie of Agadez (Niger), in a crash in the Sahara 12 people died and 50 were seriously injured (Oct 8, 2004)"
murdered,malicious intent related death / manslaughter,2004,1,"killed in Mogadishu (Somalia) after deportation from NL (Oct 5, 2004)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2004,1,"Minefield in Evros, greek-turkish border. An explosion ago 1 dead. He tried to enter illegally in Greece (Oct 6, 2004)"
suicide - other,suicide,2004,1,"suicide, overdose of pills, mentally ill refugees, help not provided by social workers (Oct 4, 2004)"
hypothermia,drowning or exhaustion related death,2004,5,"frozen to death during blizzard, trying to cross Turkish-Greek border near Feres (Jan 29, 2004). From Del Grande's data set (translated): 5 dead bodies found in Thrace, near the turkish border, died of cold in a snow storm while trying to illegally cross the border on foot (Jan 30, 2004)"
died after a fight,malicious intent related death / manslaughter,2004,1,"died after being beaten up at French airport for not having visa from Hungary (Jan 10, 2004)"
car accident,"violent accidental death (transport, blown in minefield...)",2004,50,"road accident, crushed in a truck that overturned in Dirkou, Niger, heading for LY border (Jan 9, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in his cell in Bellinzone (CH) (Jan 8, 2004)"
asphyxiated,drowning or exhaustion related death,2004,1,"stowaway, dead body found in a car in Cadiz (E) (Jan 7, 2004)"
police violence,authorities related death,2004,1,"died after police s use of teargas, circumstances not clear  (Jan 7, 2004)"
suicide - jumped from building,suicide,2004,1,"suicide, jumped off a bridge at Coventry shopping cr.(GB), suffered from depression (Jan 7, 2004)"
asphyxiated,drowning or exhaustion related death,2004,1,"stowaway, presumly died in cargo ship ""Victoria"", his body removed near Casablanca (Jan 6, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in prison in Ivrea (I) (Jan 6, 2004)"
shot by the police,authorities related death,2004,1,"shot by the police in Purmerend (NL) in front of his flat (Jan 6, 2004)"
suicide - other,suicide,2004,1,"suicide under psychiatric care at Akademiska S. in Uppsala after reject. of as.appl. (Jan 6, 2004)"
murdered,malicious intent related death / manslaughter,2004,1,"killed by other clan after deportation from DK to Mogadishu (Somalia)  (Jan 5, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in Barlinnie - Scotland (GB) in fear of deportation (Jan 4, 2004)"
starved,drowning or exhaustion related death,2004,12,"died being fourteen days at sea without food and water in Gibraltar Strait (Jan 3, 2004)"
suicide - hanged,suicide,2004,1,"suicide, found hanged in prison in Lachen (CH)  (Jan 1, 2004)"
asphyxiated,drowning or exhaustion related death,2003,2,"Suffocated two men hidden in a cargo ship Ivorian live in La Coruna (Oct 1, 2003)"
blown in minefield,"violent accidental death (transport, blown in minefield...)",2003,7,"died in minefield trying to cross the Turkish-Greek border (Sep 28, 2003). From Del Grande's data set (translated): Minefield in Evros, greek-turkish border. An explosion ago 7 deaths. They tried to enter illegally in Greece (Sep 30, 2003)"
shot by the police,authorities related death,2003,1,"shot to death by border guard while trying to cross Albanian-Greek border (Sep 22, 2003). From Del Grande's data set (translated): Eighteen year old fatally shot by Greek police while trying to cross the border of Albania (Sep 23, 2003)"
car accident,"violent accidental death (transport, blown in minefield...)",2003,1,"Kurd, asylum seeker died in minibus collision while illegaly in Great Britain (Sep 17, 2003)"
frozen,"violent accidental death (transport, blown in minefield...)",2003,1,"stowaway, frozen to death in undercarriage of Brazzaville (Congo) - Paris (F) flight (Sep 9, 2003)"
died after a fight,malicious intent related death / manslaughter,2003,1,"died in violent confrontation with Moldovians in refugee centre Traiskirchen (A) (Sep 7, 2003)"
lack of medical care,drowning or exhaustion related death,2003,1,"died of septicaemia at Dover Hospital (GB), after her pleas for a doctor were ignored  (Sep 6, 2003)"
hypothermia,drowning or exhaustion related death,2003,6,"died of hypopthermia on a Greek boat headed to Italy (Aug 31, 2003)"
suicide - hanged,suicide,2003,1,"suicide, 11 days after being deported from NL to Spain, was mentally ill (schizophrenia) (Aug 29, 2003)"
asphyxiated,drowning or exhaustion related death,2003,1,"stowaway, coming from Greece found dead in back of truck near Rimini (I) (Aug 25, 2003). From Del Grande's data set (translated): Tucked away in a car aboard a ferry to Brindisi greek, a man dies poisoned by exhaust fumes that had filled the hold (Aug 28, 2003)"
died after a fight,malicious intent related death / manslaughter,2003,1,"died after fight with another asylum seeker in asylum centre Harlingen (NL) (Aug 22, 2003)"
